DY
6216
8
mn1;mn2;mn3;mn4;mv1;mv2;mv3;mv4
154;50.92;212.15;0.09;4.04;29.33;1138.39;0.28;2.81
155;50.19;393.76;0.11;4.42;72.25;456.13;0.27;3.99
156;56.67;291.29;0.05;4.73;50.66;2803.76;0.3;3.09
157;58.04;205.84;0.04;5.11;40.33;1502.11;0.26;3.91
158;52.89;189.24;0.07;4.35;59.72;2241.85;0.4;1.72
159;58.73;292.55;0.05;4.74;95.52;415.13;0.08;3.96
160;55.64;316.53;0.07;4.84;75.31;392.68;0.26;3.84
161;56.27;246.0;0.07;4.15;37.38;2214.6;0.29;2.85
162;58.62;179.95;0.1;3.86;42.72;2099.72;0.35;1.79
163;63.03;119.77;0.05;4.86;42.73;2022.14;0.3;2.4
164;56.44;304.1;0.07;4.19;47.87;2443.28;0.32;1.99
165;63.37;172.7;0.06;4.37;40.18;2540.7;0.49;1.06
166;45.28;183.76;0.1;3.9;37.27;1669.98;0.32;2.01
167;60.48;196.59;0.06;4.39;43.37;2404.7;0.37;1.66
168;60.04;96.45;0.09;3.9;50.16;1855.02;0.49;1.06
169;51.01;227.45;0.08;4.52;84.57;780.08;0.28;3.39
170;60.78;405.38;0.06;4.62;77.4;987.1;0.27;3.82
171;61.15;181.61;0.06;4.41;44.49;2167.23;0.36;1.85
172;57.99;206.61;0.04;5.11;74.01;402.41;0.26;3.83
173;52.52;263.48;0.14;3.83;56.1;1417.24;0.34;2.29
174;60.64;186.03;0.06;4.55;44.78;2349.47;0.35;1.8
175;50.77;221.33;0.07;4.27;75.98;444.83;0.27;3.16
176;47.06;195.47;0.15;3.82;38.01;1501.47;0.29;3.01
177;62.82;185.85;0.06;4.34;43.89;2273.95;0.36;1.81
178;59.36;450.15;0.04;5.06;40.62;3052.16;0.26;3.74
179;38.83;94.66;0.25;2.52;73.04;326.01;0.3;2.49
180;62.82;151.45;0.09;3.91;46.95;1735.79;0.34;1.89
181;54.36;297.36;0.07;4.19;51.69;4307.75;0.35;2.61
182;57.25;237.68;0.06;4.32;69.01;344.59;0.5;1.71
183;53.7;169.41;0.06;4.36;30.58;864.18;0.26;3.89
184;52.89;307.8;0.09;4.14;47.27;1915.24;0.26;3.58
185;49.56;245.32;0.07;4.36;48.74;2630.94;0.28;3.43
186;60.81;185.13;0.06;4.44;47.13;2235.03;0.33;2.05
187;56.85;153.64;0.05;4.75;68.31;170.3;0.26;3.81
188;53.48;311.13;0.09;4.03;57.62;2729.13;0.28;3.02
189;54.22;234.04;0.06;4.45;45.11;2428.89;0.33;2.1
190;57.31;75.31;0.04;4.92;36.08;636.11;0.26;3.35
191;62.39;191.59;0.07;4.27;44.0;2117.67;0.35;1.77
192;57.12;225.97;0.04;4.91;41.86;1782.05;0.26;3.67
193;48.46;216.38;0.09;4.15;40.07;1983.41;0.33;2.01
194;51.91;257.56;0.09;4.03;45.21;1981.11;0.28;3.3
195;51.43;209.84;0.06;4.39;93.37;1497.72;0.4;1.85
196;58.61;558.42;0.06;4.6;38.77;3338.9;0.27;3.37
197;61.22;158.46;0.06;4.39;44.71;2135.01;0.33;1.97
198;55.23;258.07;0.05;4.79;64.31;106.08;0.26;3.77
199;50.93;184.87;0.07;4.36;45.59;1758.74;0.26;3.7
200;55.49;230.06;0.08;3.97;55.35;455.75;0.13;3.46
201;57.57;181.59;0.09;3.93;72.73;506.58;0.38;1.69
202;56.61;248.73;0.09;4.29;50.51;1854.12;0.29;2.85
203;57.24;177.31;0.06;4.27;56.82;2131.86;0.35;1.78
204;68.16;136.31;0.14;3.43;40.74;1815.55;0.32;2.65
205;62.68;123.32;0.08;4.14;50.0;2378.02;0.5;1.0
206;51.02;203.04;0.06;4.22;40.75;2076.06;0.31;2.18
207;60.67;185.14;0.06;4.44;44.72;2229.6;0.35;1.86
208;51.11;283.48;0.07;4.56;36.48;1865.54;0.3;2.37
209;63.64;143.01;0.05;4.62;42.72;2067.9;0.27;3.44
210;58.49;244.27;0.09;3.96;43.48;1777.61;0.26;3.38
211;48.43;288.96;0.07;4.16;87.45;704.6;0.2;2.67
212;62.85;157.89;0.05;4.7;43.12;2191.03;0.37;1.67
213;53.77;155.0;0.07;4.46;47.68;1302.8;0.26;3.65
214;55.45;218.57;0.04;4.79;57.51;2986.72;0.36;2.15
215;62.42;122.68;0.06;4.45;42.07;1593.73;0.26;3.82
216;58.73;292.55;0.05;4.74;47.76;2216.7;0.27;2.98
217;54.41;178.19;0.06;4.42;80.59;529.06;0.27;3.31
