DY
6216
12
c;cs;d;ds;e;f;fs;g;gs;a;as;b
344;1208;443;201;588;126;233;5;440;657;148;231;54
345;149;287;1781;136;453;24;1131;515;16;1148;1371;1192
346;1031;34;500;268;25;409;645;461;23;200;471;13
347;649;61;1886;30;196;815;28;313;0;567;200;0
348;1294;569;937;1112;308;682;192;1411;971;57;871;162
349;496;66;467;25;505;39;179;110;53;426;8;205
350;871;814;22;604;760;0;1034;11;902;88;88;782
351;796;39;78;95;68;215;322;66;32;10;41;120
352;292;231;63;676;0;13;245;83;837;0;28;94
353;1028;260;834;156;196;581;162;350;19;224;306;9
354;767;1092;419;182;718;109;427;10;2014;525;174;356
355;225;463;1579;41;811;19;1259;50;145;1328;5;475
356;1053;507;725;55;567;299;370;523;127;494;419;288
357;100;289;48;762;30;15;92;55;306;40;155;42
358;114;693;242;369;248;206;1118;2;91;19;196;348
359;122;24;49;291;114;28;136;2;0;63;26;3
360;465;1188;944;178;200;34;1750;31;429;177;20;243
361;2040;189;1979;38;344;308;1931;2135;3;1212;343;1324
362;732;162;593;7;509;185;453;390;82;282;9;1193
363;1884;117;1192;265;230;290;974;796;563;363;583;3
364;218;221;734;178;443;2;16;56;338;45;30;72
365;2897;123;1414;329;385;336;2332;1710;117;545;756;193
366;225;160;474;836;171;23;718;0;2354;1;67;1251
367;781;501;151;557;713;8;1019;3;388;12;203;242
368;1365;287;632;9;999;1208;269;135;497;1109;50;353
369;647;22;476;8;57;66;18;82;0;84;14;13
370;293;16;69;162;119;82;0;19;15;3;84;0
371;240;402;661;429;1010;231;569;334;1674;394;402;200
372;351;731;167;460;1102;0;1548;2;829;420;6;787
373;1153;124;1105;137;525;320;726;881;7;539;670;546
374;591;215;1640;83;188;77;738;81;364;5;40;139
375;106;69;837;446;133;170;257;393;5;276;637;40
376;136;152;316;636;109;158;808;0;150;556;3;300
377;67;82;172;193;694;0;693;0;254;7;0;934
378;172;258;559;1329;1;402;374;584;227;0;924;372
379;166;548;1125;67;426;151;305;102;170;408;133;193
380;1173;52;593;12;2268;726;161;51;564;1802;432;1226
381;990;29;834;10;754;567;14;499;99;346;36;187
382;216;316;1363;3;762;1;1094;603;5;1198;62;646
383;2968;56;2917;110;904;74;596;228;690;1435;243;84
384;49;207;72;164;479;12;203;6;462;166;22;481
385;720;286;1596;106;809;134;952;712;124;1175;18;960
386;501;126;254;181;17;606;321;32;3;9;315;19
387;155;56;57;386;11;147;174;99;182;0;319;132
388;690;659;733;851;61;114;18;24;6;4;111;10
389;1488;68;483;2;124;209;226;761;0;0;0;0
390;161;72;310;124;119;69;107;142;25;48;82;159
391;183;159;495;1;143;4;430;151;6;458;16;128
392;1317;565;885;532;423;497;602;623;311;366;371;159
393;793;756;514;1608;1550;71;546;325;606;518;1736;734
394;663;106;243;245;0;262;477;55;317;30;183;7
395;1968;222;929;99;765;559;446;1117;380;835;145;644
396;693;342;958;172;852;74;753;399;62;1026;78;449
397;1066;83;1080;120;124;35;1232;238;8;142;472;185
398;1560;32;704;503;335;452;1981;924;60;311;426;82
399;20;360;2377;3;773;0;448;4;157;302;0;270
400;186;276;107;180;98;70;290;96;52;254;86;146
401;672;288;670;269;315;204;1797;135;201;378;112;239
402;804;672;261;938;0;340;2218;27;805;29;2231;17
403;463;400;407;39;316;228;204;470;91;439;136;271
404;165;26;681;105;23;13;457;82;39;27;20;127
405;876;996;340;1252;351;707;1150;42;1249;3;1684;45
406;563;47;578;1;368;449;404;337;0;324;59;407
407;458;532;2055;120;121;84;180;254;18;270;93;127
408;856;73;492;121;1213;99;298;773;69;407;111;1506
409;306;345;1016;503;259;322;574;223;91;365;285;270
410;1760;1052;1427;930;1101;751;1627;883;903;1693;930;1149
411;121;27;926;0;63;6;87;209;0;281;0;121
412;947;91;1520;0;226;0;352;29;101;158;0;128
413;1840;240;1257;548;327;812;987;1169;609;593;362;538
414;232;0;3167;90;159;248;144;474;1;1040;128;29
415;987;747;1551;844;1367;59;2519;81;1004;231;386;3346
416;728;2;540;0;111;48;19;390;0;70;0;115
417;286;379;1711;206;240;1;1849;748;0;558;0;1437
418;377;539;69;446;73;18;843;0;892;7;162;125
419;642;33;1261;78;569;205;205;373;195;953;362;74
420;691;391;287;226;151;750;518;234;207;241;462;104
421;1601;45;1081;536;701;632;1239;547;52;425;72;840
422;482;670;778;167;515;1;961;193;189;252;1093;548
423;1352;7;99;18;55;15;19;254;5;56;18;163
424;184;260;566;372;160;135;375;315;126;283;229;350
425;961;513;706;703;320;626;1218;1181;482;996;556;863
426;334;495;398;203;707;59;1016;42;1211;361;226;361
427;104;773;88;550;31;418;762;10;624;7;195;124
428;1307;1330;164;1183;243;373;149;36;2567;6;216;105
429;713;129;1124;29;26;440;803;333;9;75;455;81
430;347;145;261;12;186;40;71;57;407;171;22;101
431;625;104;483;70;203;31;153;621;6;180;32;244
432;23;40;470;307;170;38;28;293;20;283;429;76
433;305;427;710;187;613;61;1475;266;279;495;27;1005
434;501;2;378;8;140;2;46;283;0;68;0;39
435;55;252;174;56;156;12;371;8;127;142;11;116
436;1205;100;416;85;297;359;313;266;41;90;227;312
437;597;25;2095;37;434;38;1710;1033;10;221;53;478
438;581;146;743;26;61;33;231;253;2;103;10;294
439;312;428;40;310;215;133;482;89;429;151;171;477
440;342;534;445;433;28;129;1823;48;275;14;451;535
441;1698;117;886;1377;28;557;45;444;584;14;1246;38
442;207;90;959;6;174;100;16;66;303;1582;338;21
443;19;315;470;105;297;69;582;76;356;188;77;353
444;535;1486;1715;309;1385;248;1982;316;202;1902;915;816
445;9;0;1132;2;4;14;121;306;1;19;206;2
446;143;256;187;184;551;4;476;16;109;351;95;904
447;1285;70;434;350;15;167;220;259;462;0;517;152
448;431;23;803;8;60;0;472;251;0;260;6;25
449;1672;14;1286;362;140;18;735;1143;207;173;630;347
450;332;102;1915;0;538;3;1365;196;0;2547;31;583
451;1555;82;243;447;0;336;81;42;352;0;139;130
452;1424;0;909;206;212;20;247;721;0;206;284;135
453;486;724;1572;15;1939;4;503;123;1730;362;0;603
454;693;979;804;608;61;176;3158;42;1322;23;239;377
455;486;724;1572;15;1939;4;503;123;1730;362;0;603
456;276;338;385;374;50;458;79;188;352;300;399;0
457;1424;154;1043;97;553;463;763;698;86;177;36;629
458;689;253;422;206;348;849;470;508;146;360;470;384
459;310;366;663;757;267;102;222;156;97;246;410;320
460;993;13;1272;14;315;545;596;850;0;762;642;321
461;986;479;710;842;197;561;362;600;1029;289;382;63
462;217;515;124;467;252;110;912;116;660;146;185;582
463;170;230;1175;504;314;0;264;414;60;575;14;146
